ID_Unit;Serial_Number;Tahun_Unit;Nama_Customer;No_PO;No_Kontrak;Awal_Sewa;Akhir_Sewa;Harga_Bulan;Sumber_Data_Customer
638;227AC1442;2012;"PT SUPERNOVA";;;;;0;MARKETING
707;131A-G6735;2012;"KCC GLASS";;;;;0;MARKETING
908;CT18C-70718;2012;"PT LG Electronics Indonesia";;;;;0;MARKETING
1051;251AC1515;2012;"PT. LX Phantos Jakarta";;;;;0;MARKETING
1179;216ZT0944;2013;"BPK AMEL 04-01-2025";;;;;0;WAREHOUSE
1180;216ZT0945;2013;"11-03-2025 FR HEINZ ABC";;;;;0;WAREHOUSE
1258;SSBEB0003;2014;"PT Ultra Prima Abadi";;;;;0;MARKETING
1259;SSBEB0001;2014;"PT. LX Phantos Jakarta";;;;;0;MARKETING
1265;42880;2014;"PT LG Electronics Indonesia";;;;;0;MARKETING
1281;227AC3035;2013;"PT LG Electronics Indonesia";;;;;0;MARKETING
1337;B882R07044M;2014;"30-03-2022 FR INDOKLATO";;;;;0;WAREHOUSE
1358;91089634;2014;"PT LG Electronics Indonesia";;;;;0;MARKETING
1360;30E30358;2014;"PT LG Electronics Indonesia";;;;;0;MARKETING
1381;B882R07088M;2014;"PT LG Electronics Indonesia";;;;;0;MARKETING
1397;91089636;2014;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
1421;B882R07092M;2014;"PT LG Electronics Indonesia";;;;;0;MARKETING
1429;91089637;2014;"PT NISSIN JAYA INDONESIA";;;;;0;MARKETING
1467;511902F00140;2022;"PT LG Electronics Indonesia";;;;;0;MARKETING
1469;511801D00262;2022;"PT LG Electronics Indonesia";;;;;0;MARKETING
1500;1A428314;2015;"PT ILC LOGISTICS INDONESIA";;;;;0;MARKETING
1501;52282;2015;"PT UNILEVER INDONESIA Tbk";;;;;0;MARKETING
1513;52537;2015;"PT. LX Phantos Jakarta";;;;;0;MARKETING
1559;T1B2-400848;2015;"PT LG Electronics Indonesia";;;;;0;MARKETING
1636;63977;2015;"PT UNILEVER INDONESIA Tbk";;;;;0;MARKETING
1660;63735;2015;"PT LOGISALL SERVIS INDONESIA";;;;;0;MARKETING
1716;66643;2016;COLOROBIA;;;;;0;WAREHOUSE
1768;66955;2016;"PT Haier Electrical Appliaces Indonesia";;;;;0;MARKETING
1807;J1AG00969;2017;"PT Ultra Prima Abadi";;;;;0;MARKETING
1809;98143443;2017;"PT Haier Electrical Appliaces Indonesia";;;;;0;MARKETING
1933;10893;2018;"PT TRI CENTRUM FORTUNA";;;;;0;MARKETING
1934;10919;2018;"KONTRAK ILC LOGISTICS INDONESIA (08-03-2025)";;;;;0;WAREHOUSE
1944;43H31973;2017;"PT TRIMITRA CIKARANG";;;;;0;MARKETING
1946;43H31960;2017;"PT SINOTRANS OVERSEAS INDONESIA";;;;;0;MARKETING
1953;69937;2018;"AMERTA INDAH OTSUKA";;;;;0;MARKETING
1967;14148;2017;"OKI Pulp and Paper";;;;;0;MARKETING
1979;43E31244;2018;"PT CS2";;;;;0;MARKETING
1990;70167;2018;"03-12-2025 FR AMBIL UNIT INDOBARAT (TUKAR UNIT JD 3626)";;;;;0;WAREHOUSE
1993;70006;2018;"HEINZ ABC";;;;;0;WAREHOUSE
2013;CT18C-86521;2018;"PT RUSLI JAGAT UTAMA";;;;;0;MARKETING
2018;14326;2018;KADAKA;;;;;0;MARKETING
2019;"TIDAK ADA SN";2018;"PT UNILEVER INDONESIA Tbk";;;;;0;MARKETING
2052;71942;2018;"PROKEMAS ( MY PACK)";;;;;0;WAREHOUSE
2053;71946;2018;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2058;71618;2018;"PT Kasmaji";;;;;0;MARKETING
2060;27143;2018;BEKAERT;;;;;0;WAREHOUSE
2062;27642;2018;"NON FERINDO";;;;;0;MARKETING
2066;71952;2018;"PT. LX Phantos Jakarta";;;;;0;MARKETING
2070;71532;2018;"PT LG Electronics Indonesia";;;;;0;MARKETING
2098;71937;2018;"PT. Asahimas Flat Glass Tbk";;;;;0;MARKETING
2111;D871R07169S;2018;"PT RUSLI JAGAT UTAMA";;;;;0;MARKETING
2112;D871R07170S;2018;"PT SURYA RENGO CONTAINERS";;;;;0;MARKETING
2113;D871R07171S;2018;"SANKO GOSEI SPARE";;;;;0;WAREHOUSE
2114;D871R07182S;2018;"PT ASIAN ISUZU CASTING CENTER";;;;;0;MARKETING
2115;D871R07183S;2018;"PT HEINZ ABC INDONESIA";;;;;0;MARKETING
2117;43H32046;2018;"PT Haier Electrical Appliaces Indonesia";;;;;0;MARKETING
2136;C881R01877S;2018;"PT BRIDON";;;;;0;MARKETING
2150;C881R01929S;2018;"Nusantara Ekpres Kilat (Shopee)";;;;;0;MARKETING
2155;C881R01905S;2018;"Nusantara Ekpres Kilat (Shopee)";;;;;0;MARKETING
2161;C881R01886S;2018;"PT SKK KAKEN INDONESIA";;;;;0;MARKETING
2162;C881R01896S;2018;"PT Kasmaji";;;;;0;MARKETING
2180;C881R01955S;2019;"Indo Bharat Rayon";;;;;0;MARKETING
2198;C881RO1970S;2019;"PT DHARMA POLIMETAL Tbk";;;;;0;MARKETING
2209;1A545908;2019;"PT INDOLAKTO";;;;;0;MARKETING
2214;1A-546007;2019;"PT FRIGOGLASS INDONESIA";;;;;0;MARKETING
2215;1A-546008;2019;"MULIA RAYA AGRIJAYA (24-06-2025)";;;;;0;WAREHOUSE
2217;57196;2019;"Indo Bharat Rayon";;;;;0;MARKETING
2228;J1AI03111;2019;"PT FRIGOGLASS INDONESIA";;;;;0;MARKETING
2229;J1AI03112;2019;"PT FRIGOGLASS INDONESIA";;;;;0;MARKETING
2232;C881R01999S;2019;Lamipak;;;;;0;MARKETING
2235;43H32427;2019;"PT. LX Phantos Jakarta";;;;;0;MARKETING
2236;43H32429;2019;"PT CIPTA NIAGA SEMESTA";4502203653;;;;0;MARKETING
2245;D861N05762T;2019;"PT. LX Phantos Jakarta";;;;;0;MARKETING
2250;72727;2019;"PT INGRESS TECHNOLOGIES INDONESIA";;;;;0;MARKETING
2251;73506;2019;"Sika Indonesia";;;;;0;MARKETING
2261;516329V00051;2019;"PT CIPTA NIAGA SEMESTA";4502195148;;;;0;MARKETING
2262;516329V00050;2019;"PT. Asahimas Flat Glass Tbk";;;;;0;MARKETING
2278;72396;2019;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2282;CT18C-86527;2019;"CJ LOGISTIC SERVICE INDONESIA";;;;;0;MARKETING
2295;CT18C-86880;2019;"AMERTA INDAH OTSUKA";;;;;0;MARKETING
2305;FN952939;2019;"PT ILC LOGISTICS INDONESIA";;;;;0;MARKETING
2308;43H32514;2023;"PT CIPTA NIAGA SEMESTA";4501906925;;;;0;MARKETING
2309;43E31475;2019;"PT MULIA RAYA AGRIJAYA";;;;;0;MARKETING
2346;C881R03140T;2019;"PT JAKARTA SEREAL";;;;;0;MARKETING
2351;C881R03192T;2019;"PT MULIA RAYA AGRIJAYA";;;;;0;MARKETING
2352;C881R03172T;2019;"22-07-2025 FR OKI PALEMBANG";;;;;0;WAREHOUSE
2354;C881R03194T;2019;"PT UNILEVER INDONESIA Tbk";;;;;0;MARKETING
2360;73564;2019;"OKI Pulp and Paper";;;;;0;MARKETING
2361;73535;2019;"OKI Pulp and Paper";;;;;0;MARKETING
2365;73570;2019;"PT BERJAYA NAWAPLASTIC";;;;;0;MARKETING
2369;12229;2019;"Purinusa Eka Persada";;;;;0;MARKETING
2373;14068;2019;"KONTRAK UNIT KCC GLAS (10-01-2026)";;;;;0;WAREHOUSE
2374;14055;2019;"SURYA RENGO KARAWANG ANTAR SPARE (11-12-2025)";;;;;0;WAREHOUSE
2381;30561;2019;"Indah Kiat Pulp and Paper";;;;;0;MARKETING
2391;6666672;2019;"OKI Pulp and Paper";;;;;0;MARKETING
2395;6666677;2019;"PT Ultra Prima Abadi";;;;;0;MARKETING
2405;6667081;2019;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2408;6666682;2019;"25-11-2025 FR AMBIL UNIT BEKAERT";;;;;0;WAREHOUSE
2410;6666684;2019;"KONTRAK YCH FFI PROJECT (12-12-2025)";;;;;0;WAREHOUSE
2411;6667091;2019;"PT SURYA RENGO CONTAINERS";;;;;0;MARKETING
2416;6667093;2019;"KCC GLASS";;;;;0;MARKETING
2430;6678355;2019;"28-11-2025 FR AMBIL UNIT BEKAERT";;;;;0;WAREHOUSE
2446;CT18C-86945;2019;"PT ILC LOGISTICS INDONESIA";;;;;0;MARKETING
2447;CT18C-86946;2019;"konverta Abadi";;;;;0;MARKETING
2451;FN957233;2019;"OKI Pulp and Paper";;;;;0;MARKETING
2453;1A557791;2019;"PT HEINZ ABC INDONESIA";;;;;0;MARKETING
2456;1A557794;2019;"PT INTILOG SUKSES ABADI";;;;;0;MARKETING
2460;43E31508;2019;"18-09-2025 FR AMBIL UNIT CAHAYA PUTRA";;;;;0;WAREHOUSE
2461;43H32511;2019;"Fajar Unggul Nusantara";;;;;0;MARKETING
2464;CT28C-51635;2022;"PRYSMIAN CABLES INDONESIA";;;;;0;WAREHOUSE
2470;FN957210;2019;YCH;;;;;0;WAREHOUSE
2472;FN957234;2019;NISSIN;;;;;0;WAREHOUSE
2473;FN957235;2019;"KCC GLASS";;;;;0;MARKETING
2474;1A557896;2019;"PT SURYA RENGO CONTAINERS";;;;;0;MARKETING
2476;1A557897;2019;"KCC GLASS";;;;;0;MARKETING
2480;FN957094;2019;"PT LG Electronics Indonesia";;;;;0;MARKETING
2485;FN957213;2019;"PT LG Electronics Indonesia";;;;;0;MARKETING
2487;FDC03-1130-02124;2019;"PT LG Electronics Indonesia";;;;;0;MARKETING
2488;6655485;2019;"PT ARISAMANDIRI PRATAMA";;;;;0;MARKETING
2494;C900R02427T;2019;"PT ARISAMANDIRI PRATAMA";;;;;0;MARKETING
2496;F20178G00052;2019;"PT ARISAMANDIRI PRATAMA";;;;;0;MARKETING
2505;C881R03159T;2019;"PT YCH INDONESIA";23102018328;;;;0;MARKETING
2507;43H32645;2019;"PT SINOTRANS OVERSEAS INDONESIA";;;;;0;MARKETING
2510;43H32606;2019;"PT YCH INDONESIA";23102018330;;;;0;MARKETING
2511;CT18C-86978;2019;"PT YCH INDONESIA";23102018329;;;;0;MARKETING
2512;CT18C-86979;2019;ASAHIMAS;;;;;0;WAREHOUSE
2513;CT18C-86980;2019;ASAHIMAS;;;;;0;WAREHOUSE
2522;567006LDPKN133039;2019;"PT YCH INDONESIA";23102018331;;;;0;MARKETING
2531;516329V00604;2019;"20-08-2025 FR PERAWANG";;;;;0;WAREHOUSE
2534;33831;2019;"KONTRAK PT. SINOTRANS PEMINDAHAN UNIT DARI GD. CIBITUNG KE GD. TAMBUN (25-02-2026)";;;;;0;WAREHOUSE
2535;74752;2019;"KCC GLASS";;;;;0;MARKETING
2539;30966;2019;"PT BAKRIE AUTOPARTS";;;;;0;MARKETING
2542;73009;2019;"PT Bitutek";;;;;0;MARKETING
2543;73060;2019;"PT BUKIT MURIA JAYA";;;;;0;MARKETING
2547;74693;2019;"PT. Asahimas Flat Glass Tbk";;;;;0;MARKETING
2549;62-8FD30-74699;2019;"PT. Asahimas Flat Glass Tbk";;;;;0;MARKETING
2550;511904F00345;2022;"PT. Asahimas Flat Glass Tbk";;;;;0;MARKETING
2551;63804;2019;"Astro Technologies Indonesia";;;;;0;MARKETING
2553;CT18C-87084;2019;"BMJ SPARE";;;;;0;WAREHOUSE
2554;CT18C-87033;2020;"PT INDOLAKTO";;;;;0;MARKETING
2564;CT14E-20560;2020;"PT Prysmian Cables Indonesia";;;;;0;MARKETING
2571;C900R04694T;2020;"PT KALDU SARI NABATI INDONESIA";;;;;0;MARKETING
2572;C900R04765T;2020;"PT NISSIN JAYA INDONESIA";;;;;0;MARKETING
2583;74928;2020;"PT KALDU SARI NABATI INDONESIA";;;;;0;MARKETING
2584;74929;2020;"10-02-2026 AMBIL UNIT FR JAKARTA SEREAL CAKUNG TUKAR UNIT JD 3054";;;;;0;WAREHOUSE
2586;FDC03-1130-02225;2021;"PT FRIGOGLASS INDONESIA";;;;;0;MARKETING
2593;516329V00736;2019;"PT. Musashi Auto Part";;;;;0;MARKETING
2594;FN962268;2020;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2595;FN962269;2020;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2613;HHKCFMM7VL0000272;2020;"PT. Asahimas Flat Glass Tbk";;;;;0;MARKETING
2614;HHKCFMM5KL0000489;2020;"PT. Asahimas Flat Glass Tbk";;;;;0;MARKETING
2621;1A553392;2020;"Purinusa Eka Persada";;;;;0;MARKETING
2622;1A553716;2020;"PT. CJ LOGISTIK SERVICE (26-07-2025)";;;;;0;WAREHOUSE
2635;62804;2020;"18-03-2025 FR TIRTA ALAM SEGAR";;;;;0;WAREHOUSE
2636;62807;2020;"11-04-2025 FR ADI JAYA MONTANA";;;;;0;WAREHOUSE
2638;75730;2020;"PT BERJAYA NAWAPLASTIC";;;;;0;MARKETING
2639;75507;2019;"Indah Kiat Pulp And Paper";;;;;0;MARKETING
2641;43H32960;2020;"PT CAHAYAPUTRA ASA KERAMIK Tbk";;;;;0;MARKETING
2642;43H62959;2020;"PT DHARMA POLIMETAL Tbk (PT KOMALA AGUNG)";;;;;0;MARKETING
2643;HHKHB107CL0000446;2020;"09-12-2025 FR AMBIL UNIT CJ LOGISTIK (SURABAYA)";;;;;0;WAREHOUSE
2644;75765;2020;"Indah Kiat Pulp and Paper";;;;;0;MARKETING
2645;75728;2020;"PT LINFOX LOGISTICS";;;;;0;MARKETING
2648;19071902;2020;"INDAH KIAT PULP AND PAPER";;;;;0;WAREHOUSE
2655;43E31687;2020;"CIPTA MULTI BUANA PERKASA";;;;;0;WAREHOUSE
2664;CT18C-87301;2020;"PT TEKPAK INDONESIA";;;;;0;MARKETING
2671;CT28C-51368;2021;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2672;CT28C-51371;2021;"PT SUPERNOVA";;;;;0;MARKETING
2680;75860;2021;"11-03-2025 FR MY PACK";;;;;0;WAREHOUSE
2681;76332;2021;"Indah Kiat Pulp and Paper";;;;;0;MARKETING
2682;76333;2021;"Indah Kiat Pulp and Paper";;;;;0;MARKETING
2684;81342;2021;"PT JAKARTA SEREAL";;;;;0;MARKETING
2686;81795;2021;"KCC GLASS";;;;;0;MARKETING
2694;257D00577;2021;"Rapid Plast";;;;;0;MARKETING
2696;257D00579;2021;"PT CS2";;;;;0;MARKETING
2719;185F02115;2021;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2722;322AC2952;2021;"CJ LOGISTIC SERVICE INDONESIA";;;;;0;MARKETING
2725;CT14E-21754;2021;"KOKO INTI";;;;;0;WAREHOUSE
2728;HHKHFP10PL0000426;2020;"PT HAB DONG INDO";;;;;0;MARKETING
2733;81819;2021;"PT PRIMACORR MANDIRI";;;;;0;MARKETING
2737;Q1BA06520;2021;"PT SURYA RENGO CONTAINERS";;;;;0;MARKETING
2739;Q1BA06523;2021;"PT DHARMA POLIMETAL Tbk";;;;;0;MARKETING
2740;Q1BA06530;2021;"PT ASPEX KUMBONG";;;;;0;MARKETING
2741;Q1BA06531;2021;"PT ASPEX KUMBONG";;;;;0;MARKETING
2742;Q1BA06532;2021;"PT ASPEX KUMBONG";;;;;0;MARKETING
2744;Q1BA06534;2021;"PT ASPEX KUMBONG";;;;;0;MARKETING
2748;82396;2021;"KONTRAK KIRANA PERMATA (15-12-2025)";;;;;0;WAREHOUSE
2749;82397;2021;"PT CAHAYAPUTRA ASA KERAMIK Tbk";;;;;0;MARKETING
2750;82408;2021;"PT KALDU SARI NABATI INDONESIA";;;;;0;MARKETING
2754;CT18C-87661;2021;"Indo Bharat Rayon";;;;;0;MARKETING
2755;CT18C-87658;2021;"Cipta Multi Buana";;;;;0;MARKETING
2763;HHKCFMM3JF0000478;2021;"09-12-2025 FR AMBIL UNIT UPA SURABAYA (TUKAR UNIT JD 3156)";;;;;0;WAREHOUSE
2764;HHKCFMM3KF0000480;2021;SUPERNOVA;;;;;0;WAREHOUSE
2766;82457;2021;"PT. Asahimas Flat Glass Tbk";;;;;0;MARKETING
2771;FN981904;2021;"PT ASIAN ISUZU CASTING CENTER";;;;;0;MARKETING
2777;CT14E-21915;2021;"PT ASIAN ISUZU CASTING CENTER";;;;;0;MARKETING
2781;CT14E-21916;2021;"PT MARUHACHI INDONESIA";;;;;0;MARKETING
2784;T8BA00035;2021;"PT GEORG FISCHER INDONESIA";;;;;0;MARKETING
2785;I9BA06339;2021;"PT ASPEX KUMBONG";;;;;0;MARKETING
2794;CT14E-22377;2022;"PT LG Electronics Indonesia";;;;;0;MARKETING
2795;30E32664;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2796;30E32696;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2797;257D00604;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2798;257D00470;2021;"PT. LX Phantos Jakarta";;;;;0;MARKETING
2799;257D00471;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2800;257D00516;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2801;257D00517;2021;"PT SINOTRANS OVERSEAS INDONESIA";;;;;0;MARKETING
2802;43H33241;2023;"PT LG Electronics Indonesia";;;;;0;MARKETING
2803;43H33296;2023;"PT LG Electronics Indonesia";;;;;0;MARKETING
2804;SEM00618KS1S01415;2022;"PT LG Electronics Indonesia";;;;;0;MARKETING
2810;HHKCHN55AF0001392;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2814;HHKCHN55JF0001386;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2815;HHKCHN55LF0001376;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2816;HHKCHN55EF0001378;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2817;HHKCHN55CF0001379;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2825;HHKCHN56CF0000720;2021;"PT Kokoh Inti Arebama";4018011075;;;;0;MARKETING
2828;82895;2024;"AIBM - Indolakto";;;;;0;MARKETING
2831;V2BA00004;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2834;I9BA07657;2021;"PT BAKRIE AUTOPARTS";;;;;0;MARKETING
2839;20380;2021;"PT LG Electronics Indonesia";;;;;0;MARKETING
2840;20381;2021;"PT JAKARTA SEREAL";;;;;0;MARKETING
2841;20382;2021;"PT JAKARTA SEREAL";;;;;0;MARKETING
2842;20387;2021;"SRI TRANG LINGGA";;;;;0;WAREHOUSE
2843;20389;2021;"PT JAKARTA SEREAL";;;;;0;MARKETING
2844;20400;2021;"30-08-2025 AMBIL UNIT FR OKI PALEMBANG";;;;;0;WAREHOUSE
2848;CT18C-87684;2021;"Kirana Permata";;;;;0;MARKETING
2854;30E32867;2021;"PT ASIAN ISUZU CASTING CENTER";;;;;0;MARKETING
2855;30E32874;2021;"PT ASIAN ISUZU CASTING CENTER";;;;;0;MARKETING
2856;30E32870;2021;"PT BRIDON";;;;;0;MARKETING
2864;C881R01810S;2022;"PT SUPERNOVA FLEXIBLE PACKAGING";;;;;0;MARKETING
2866;C881R01988S;2022;"South Pacific Viscose";;;;;0;MARKETING
2868;C881R05393U;2022;"PT CIPTA NIAGA SEMESTA";4501715413;;;;0;MARKETING
2869;C881R05379U;2022;"PT KAMADJAJA LOGISTIC";;;;;0;MARKETING
2870;C881R01935S;2022;"PT HAB DONG INDO";;;;;0;MARKETING
2875;FN987497;2022;UNIVENUS;;;;;0;WAREHOUSE
2878;FN987500;2022;"PT BAKRIE AUTOPARTS";;;;;0;MARKETING
2881;43E31782;2022;"PT Kasmaji";;;;;0;MARKETING
2886;43H33506;2023;"PT TEKPAK INDONESIA";;;;;0;MARKETING
2888;CT14E-22373;2022;"PT CIPTA NIAGA SEMESTA";4501945653;;;;0;MARKETING
2889;3311000936;2022;"Oji Sinarmas Packaging";;;;;0;MARKETING
2890;3311000937;2022;"Oji Sinarmas Packaging";;;;;0;MARKETING
2891;3311001789;2022;"Oji Sinarmas Packaging";;;;;0;MARKETING
2892;3311001790;2022;"Oji Sinarmas Packaging";;;;;0;MARKETING
